date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
05:13:25	19859/19859	---M--	200	added ('OK')	image/jpeg	etag:%22125e19a-4d93-5ba0726db30fe%22	https://thegenius.co/html/crsine_new/assets/images/resources/about-1-2.jpg	thegenius.co/html/crsine_new/assets/images/resources/about-1-2.jpg	(from https://thegenius.co/html/crsine_new/index-2.html)
05:13:27	57751/57751	---M--	200	added ('OK')	image/jpeg	etag:%22125e1a0-e197-5ba07270a5f18%22	https://thegenius.co/html/crsine_new/assets/images/resources/about-4-1.jpg	thegenius.co/html/crsine_new/assets/images/resources/about-4-1.jpg	(from https://thegenius.co/html/crsine_new/index-2.html)
05:13:27	12404/12404	---M--	200	added ('OK')	image/jpeg	etag:%22125e1f7-3074-5ba072812b2ee%22	https://thegenius.co/html/crsine_new/assets/images/team/team-1-1.jpg	thegenius.co/html/crsine_new/assets/images/team/team-1-1.jpg	(from https://thegenius.co/html/crsine_new/index-2.html)
05:13:28	11530/11530	---M--	200	added ('OK')	image/jpeg	etag:%22125e1fa-2d0a-5ba07281a38b5%22	https://thegenius.co/html/crsine_new/assets/images/team/team-1-2.jpg	thegenius.co/html/crsine_new/assets/images/team/team-1-2.jpg	(from https://thegenius.co/html/crsine_new/index-2.html)
05:13:29	12099/12099	---M--	200	added ('OK')	image/jpeg	etag:%22125e1fc-2f43-5ba07282a134b%22	https://thegenius.co/html/crsine_new/assets/images/team/team-1-4.jpg	thegenius.co/html/crsine_new/assets/images/team/team-1-4.jpg	(from https://thegenius.co/html/crsine_new/index-2.html)
05:13:30	11668/11668	---M--	200	added ('OK')	image/jpeg	etag:%22125e1fb-2d94-5ba072822434c%22	https://thegenius.co/html/crsine_new/assets/images/team/team-1-3.jpg	thegenius.co/html/crsine_new/assets/images/team/team-1-3.jpg	(from https://thegenius.co/html/crsine_new/index-2.html)
05:13:32	3008/3008	---M--	200	added ('OK')	image/jpeg	etag:%22125e1ab-bc0-5ba072728a12c%22	https://thegenius.co/html/crsine_new/assets/images/resources/testi-1-1.jpg	thegenius.co/html/crsine_new/assets/images/resources/testi-1-1.jpg	(from https://thegenius.co/html/crsine_new/index-2.html)
05:13:33	3187/3187	---M--	200	added ('OK')	image/jpeg	etag:%22125e1ac-c73-5ba07272b1de4%22	https://thegenius.co/html/crsine_new/assets/images/resources/testi-1-2.jpg	thegenius.co/html/crsine_new/assets/images/resources/testi-1-2.jpg	(from https://thegenius.co/html/crsine_new/index-2.html)
05:13:34	3062/3062	---M--	200	added ('OK')	image/jpeg	etag:%22125e1b6-bf6-5ba0727375ab2%22	https://thegenius.co/html/crsine_new/assets/images/resources/testi-1-3.jpg	thegenius.co/html/crsine_new/assets/images/resources/testi-1-3.jpg	(from https://thegenius.co/html/crsine_new/index-2.html)
05:13:35	242482/242482	---M--	200	added ('OK')	image/jpeg	etag:%22121210a-3b332-5ba0723c02a0b%22	https://thegenius.co/html/crsine_new/assets/images/backgrounds/cta-bg-1-1.jpg	thegenius.co/html/crsine_new/assets/images/backgrounds/cta-bg-1-1.jpg	(from https://thegenius.co/html/crsine_new/index-2.html)
